337	2643	9	6.0
338	2644	9	6.0
339	2645	9	6.0
340	2646	9	6.0
341	2647	9	6.0
342	2661	9	6.0
343	2662	9	6.0
344	2664	9	6.0
345	2665	9	6.0
346	2667	9	6.0
347	3101	7	6.0
348	3111	7	6.0
349	3121	7	6.0
350	3131	7	6.0
351	3141	7	6.0
352	3151	7	6.0
353	3102	7	6.0
354	3122	7	6.0
355	3132	7	6.0
356	3142	7	6.0
357	3104	7	6.0
358	3124	7	6.0
359	3134	7	6.0
360	3144	7	6.0
361	3105	7	6.0
362	3125	7	6.0
363	3135	7	6.0
364	3145	7	6.0
365	3107	7	6.0
366	3127	7	6.0
367	3137	7	6.0
368	3147	7	6.0
369	3108	7	6.0
370	3118	7	6.0
371	3128	7	6.0
372	3138	7	6.0
373	3148	7	6.0
374	3158	7	6.0
375	3201	7	6.0
376	3221	7	6.0
377	3231	7	6.0
378	3241	7	6.0
379	3202	7	6.0
380	3222	7	6.0
381	3232	7	6.0
382	3242	7	6.0
383	3204	7	6.0
384	3224	7	6.0
385	3234	7	6.0
386	3244	7	6.0
387	3205	7	6.0
388	3225	7	6.0
389	3235	7	6.0
390	3245	7	6.0
391	3207	7	6.0
392	3227	7	6.0
393	3237	7	6.0
394	3247	7	6.0
395	3208	7	6.0
396	3228	7	6.0
397	3238	7	6.0
398	3248	7	6.0
399	3301	8	6.0
400	3311	8	6.0
401	3321	8	6.0
402	3331	8	6.0
403	3341	8	6.0
404	3351	8	6.0
405	3302	8	6.0
406	3322	8	6.0
407	3332	8	6.0
408	3342	8	6.0
409	3304	8	6.0
410	3324	8	6.0
411	3334	8	6.0
412	3344	8	6.0
413	3305	8	6.0
414	3325	8	6.0
415	3335	8	6.0
416	3345	8	6.0
417	3307	8	6.0
418	3327	8	6.0
419	3337	8	6.0
420	3347	8	6.0
421	3308	8	6.0
422	3318	8	6.0
423	3328	8	6.0
424	3338	8	6.0
425	3348	8	6.0
426	3358	8	6.0
427	3401	8	6.0
428	3421	8	6.0
429	3431	8	6.0
430	3441	8	6.0
431	3402	8	6.0
432	3422	8	6.0
433	3432	8	6.0
434	3442	8	6.0
435	3404	8	6.0
436	3424	8	6.0
437	3434	8	6.0
438	3444	8	6.0
439	3405	8	6.0
440	3425	8	6.0
441	3435	8	6.0
442	3445	8	6.0
443	3407	8	6.0
444	3427	8	6.0
445	3437	8	6.0
446	3447	8	6.0
447	3408	8	6.0
448	3428	8	6.0
449	3438	8	6.0
450	3448	8	6.0
451	3501	9	6.0
452	3511	9	6.0
453	3521	9	6.0
454	3531	9	6.0
455	3541	9	6.0
456	3551	9	6.0
457	3502	9	6.0
458	3522	9	6.0
459	3532	9	6.0
460	3542	9	6.0
461	3504	9	6.0
462	3524	9	6.0
463	3534	9	6.0
464	3544	9	6.0
465	3505	9	6.0
466	3525	9	6.0
467	3535	9	6.0
468	3545	9	6.0
469	3507	9	6.0
470	3527	9	6.0
471	3537	9	6.0
472	3547	9	6.0
473	3508	9	6.0
474	3518	9	6.0
475	3528	9	6.0
476	3538	9	6.0
477	3548	9	6.0
478	3558	9	6.0
479	3601	9	6.0
480	3611	9	6.0
481	3621	9	6.0
482	3631	9	6.0
483	3641	9	6.0
484	3651	9	6.0
485	3602	9	6.0
486	3622	9	6.0
487	3632	9	6.0
488	3642	9	6.0
489	3604	9	6.0
490	3624	9	6.0
491	3634	9	6.0
492	3644	9	6.0
493	3605	9	6.0
