Nodes:
ID, X, Y, Z
256, 11.300, 8.000, 0.000
257, 11.250, 8.500, 0.000
258, 11.200, 9.000, 0.000
259, 11.150, 9.500, 0.000
260, 14.100, 0.500, 0.000
261, 14.000, 1.000, 0.000
262, 13.900, 1.500, 0.000
263, 13.800, 2.000, 0.000
264, 13.700, 2.500, 0.000
265, 13.600, 3.000, 0.000
266, 13.500, 3.500, 0.000
267, 13.400, 4.000, 0.000
268, 13.300, 4.500, 0.000
269, 13.200, 5.000, 0.000
270, 13.100, 5.500, 0.000
271, 13.000, 6.000, 0.000
272, 12.900, 6.500, 0.000
273, 12.800, 7.000, 0.000
274, 12.700, 7.500, 0.000
275, 12.600, 8.000, 0.000
276, 12.500, 8.500, 0.000
277, 12.400, 9.000, 0.000
278, 12.300, 9.500, 0.000
279, 16.150, 0.500, 0.000
280, 16.000, 1.000, 0.000
281, 15.850, 1.500, 0.000
282, 15.700, 2.000, 0.000
283, 15.550, 2.500, 0.000
284, 15.400, 3.000, 0.000
285, 15.250, 3.500, 0.000
286, 15.100, 4.000, 0.000
287, 14.950, 4.500, 0.000
288, 14.800, 5.000, 0.000
289, 14.650, 5.500, 0.000
290, 14.500, 6.000, 0.000
291, 14.350, 6.500, 0.000
292, 14.200, 7.000, 0.000
293, 14.050, 7.500, 0.000
294, 13.900, 8.000, 0.000
295, 13.750, 8.500, 0.000
296, 13.600, 9.000, 0.000
297, 13.450, 9.500, 0.000
298, 18.200, 0.500, 0.000
299, 18.000, 1.000, 0.000
300, 17.800, 1.500, 0.000
301, 17.600, 2.000, 0.000
302, 17.400, 2.500, 0.000
303, 17.200, 3.000, 0.000
304, 17.000, 3.500, 0.000
305, 16.800, 4.000, 0.000
306, 16.600, 4.500, 0.000
307, 16.400, 5.000, 0.000
308, 16.200, 5.500, 0.000
309, 16.000, 6.000, 0.000
310, 15.800, 6.500, 0.000
311, 15.600, 7.000, 0.000
312, 15.400, 7.500, 0.000
313, 15.200, 8.000, 0.000
314, 15.000, 8.500, 0.000
315, 14.800, 9.000, 0.000
316, 14.600, 9.500, 0.000
317, 20.250, 0.500, 0.000
318, 20.000, 1.000, 0.000
319, 19.750, 1.500, 0.000
320, 19.500, 2.000, 0.000
321, 19.250, 2.500, 0.000
322, 19.000, 3.000, 0.000
323, 18.750, 3.500, 0.000
324, 18.500, 4.000, 0.000
325, 18.250, 4.500, 0.000
326, 18.000, 5.000, 0.000
327, 17.750, 5.500, 0.000
328, 17.500, 6.000, 0.000
329, 17.250, 6.500, 0.000
330, 17.000, 7.000, 0.000
331, 16.750, 7.500, 0.000
332, 16.500, 8.000, 0.000
333, 16.250, 8.500, 0.000
334, 16.000, 9.000, 0.000
335, 15.750, 9.500, 0.000
336, 22.300, 0.500, 0.000
337, 22.000, 1.000, 0.000
338, 21.700, 1.500, 0.000
339, 21.400, 2.000, 0.000
340, 21.100, 2.500, 0.000
341, 20.800, 3.000, 0.000
342, 20.500, 3.500, 0.000
343, 20.200, 4.000, 0.000
344, 19.900, 4.500, 0.000
345, 19.600, 5.000, 0.000
346, 19.300, 5.500, 0.000
347, 19.000, 6.000, 0.000
348, 18.700, 6.500, 0.000
349, 18.400, 7.000, 0.000
350, 18.100, 7.500, 0.000
351, 17.800, 8.000, 0.000
