dts,Node_5,Node_80,Node_6,Node_99
3.46,-0.299563,4.82319,2.20806,6.64508
3.47,0.159958,0.541936,4.75137,4.67187
3.48,-0.215894,2.3529,4.36611,4.33616
3.49,-0.235406,5.51264,6.58098,3.20688
3.5,-0.156571,5.55514,4.44125,4.84803
3.51,-0.416983,9.32296,7.02843,5.42825
3.52,-0.528039,10.7177,4.58256,3.49688
3.53,-0.797622,6.07146,6.77152,4.09944
3.54,-0.191128,5.19357,6.67246,8.47065
3.55,-0.374326,5.29101,5.64801,7.78472
3.56,-1.20601,3.37607,7.21515,7.43691
3.57,-0.948387,3.19518,7.70587,12.2391
3.58,2.35269,2.00639,7.54297,9.33015
3.59,3.60897,5.04452,4.29616,5.08822
3.6,3.8149,3.88017,2.54726,4.02577
3.61,3.37699,3.97888,-0.479144,2.37768
3.62,1.89755,5.61447,-0.613701,0.828205
3.63,0.988278,4.31051,3.43226,-1.42446
3.64,-0.133772,5.19692,-1.80471,0.665021
3.65,0.0420754,4.58151,2.79197,0.071951
3.66,0.399487,5.06953,-0.9077,0.360733
3.67,1.20272,1.4225,1.49689,-4.71293
3.68,0.910044,-0.804264,-2.6135,-7.45278
3.69,2.19334,1.616,-6.13978,-7.10032
3.7,2.29294,-2.64426,-7.49585,-6.26812
3.71,0.524024,-4.11611,-6.33856,-5.34236
3.72,1.35811,-3.84404,-6.52444,-6.43603
3.73,0.457984,-4.77649,-5.95981,-5.3574
3.74,1.50198,-4.72001,-4.62589,-6.9377
3.75,2.67322,-4.4568,-2.52632,-5.70719
3.76,4.09761,-6.7056,-3.40016,-8.44952
3.77,5.673,-4.7395,-3.09804,-9.15229
3.78,7.02584,-3.27614,-4.0726,-9.40639
3.79,6.30563,-4.00009,-5.44807,-9.66244
3.8,4.69417,-5.0933,-6.59333,-9.31118
3.81,3.79182,-5.43299,-8.78661,-10.051
3.82,1.85954,-4.49184,-9.25216,-10.3368
3.83,-0.455724,-6.37209,-10.6896,-10.947
3.84,-2.33614,-6.71989,-11.0138,-9.40605
3.85,-3.4354,-7.67953,-10.3745,-8.98468
3.86,-5.30169,-8.15975,-9.16906,-9.48395
3.87,-7.42268,-8.10182,-10.7576,-7.83747
3.88,-8.68414,-8.35849,-11.3937,-6.11594
3.89,-8.81314,-8.10963,-9.25265,-5.38899
3.9,-7.33101,-7.81705,-8.6961,-6.48051
3.91,-5.72586,-5.40372,-9.52891,-6.04795
3.92,-3.8533,-4.36084,-8.45584,-3.71749
3.93,-2.0114,-4.63937,-7.52781,-0.845173
3.94,-1.54405,-2.22228,-7.6403,-0.479173
3.95,-2.34846,-1.92665,-8.3168,1.32464
3.96,-3.19059,0.184993,-8.78769,-0.140019
3.97,-2.67239,0.366934,-6.51059,0.957695
3.98,-2.05988,-1.27081,-4.92778,5.66193
3.99,-0.235089,2.12528,-6.40119,8.79438
4.0,0.822429,0.605292,-1.09826,5.52474
4.01,0.227807,1.97372,-2.05413,6.70731
4.02,1.95874,1.48742,-0.82885,9.04986
4.03,2.65419,1.3362,1.32769,10.7263
4.04,3.56301,3.82972,1.70393,7.76331
4.05,3.33075,2.37799,4.0655,6.02595
4.06,0.910276,5.26504,4.52125,6.87634
4.07,-0.621326,6.21842,4.9973,5.0227
4.08,-0.594657,7.3774,9.08572,4.18063
4.09,0.124125,3.73994,6.98093,2.07206
4.1,0.828653,3.5412,5.77311,4.85795
4.11,0.891107,6.68265,6.54691,-2.73435
4.12,1.56558,-0.778561,9.06571,-13.8488
4.13,1.97242,-2.2071,0.904802,-12.5358
4.14,3.09759,-0.254362,3.30467,-9.49282
4.15,3.36639,1.48929,2.6484,-5.4207
4.16,3.90222,-2.26342,0.952782,-11.8298
4.17,6.13691,-2.50781,2.38347,-11.1906
4.18,8.86612,-1.36036,-11.5078,-11.9367
4.19,11.0944,-11.7937,-3.68735,-9.57573
4.2,13.8631,-9.96332,-10.4756,-8.31479
4.21,12.9227,-12.7033,-9.19212,-4.91834
4.22,8.16272,-7.36167,-9.61117,-12.3879
4.23,0.000153362,-3.38027,-10.6149,-13.8096
4.24,-6.75611,-0.547206,-14.124,-13.1026
4.25,-13.169,8.33955,-12.4379,-15.1001
4.26,-16.1255,-6.53669,-11.2082,-12.1198
4.27,-16.6238,-20.3803,-10.4298,-13.0067
4.28,-0.715154,-2.38904,-10.5716,-7.20842
4.29,-8.66591,-21.107,-12.3302,-3.45149
4.3,-4.32844,-4.29276,-13.1782,-1.64531
4.31,-7.01137,-22.4276,-12.6313,-2.92203
4.32,-5.24518,-8.34974,-10.7229,-1.44047
4.33,-6.05224,-17.4523,-6.68794,-0.3897
4.34,-2.20976,-13.028,-3.47136,1.58095
4.35,-1.08127,-11.2202,1.30094,1.1962
4.36,-1.40138,-7.08197,1.61279,2.67599
4.37,-1.83959,-2.05443,-0.0885955,1.34234
4.38,-3.22886,3.91467,1.1437,6.28806
4.39,-1.63299,5.36001,5.42315,5.35759
4.4,-0.797166,5.23371,5.40035,4.64382
4.41,0.238057,3.33914,6.76017,-2.72829
4.42,1.03511,3.8489,9.25051,3.4346
4.43,1.07646,3.88717,9.00051,2.53654
4.44,2.85074,1.74281,12.6594,0.782934
4.45,5.09042,-1.13096,9.8643,2.9739
4.46,5.62253,-0.45708,4.34285,0.696037
4.47,-1.43111,1.61719,0.197956,-0.139895
4.48,-0.283444,6.85011,-1.04321,6.28392
4.49,1.07563,3.37987,2.07625,5.22681
4.5,1.21697,3.86673,2.68217,1.71383
4.51,2.07782,3.16783,5.66184,-1.60891
4.52,1.38025,1.74212,3.07312,0.849373
4.53,2.16553,4.85604,0.359659,-1.45394
4.54,1.47659,5.98655,0.861425,-6.30279
4.55,1.98806,2.10366,-2.42926,-3.13492
4.56,2.06793,0.999966,-1.20232,-5.58843
4.57,2.75837,0.961974,-2.22308,-2.8941
4.58,2.6461,-0.579813,-1.96913,-2.42226
4.59,2.49879,-0.533837,-1.44781,-4.89844
4.6,1.083,-1.39363,-3.8468,0.442635
4.61,-1.06809,-1.53072,-3.5591,-2.66236
4.62,-2.38699,-3.06823,-3.08264,1.99612
4.63,-2.21851,-3.03048,-3.64101,-4.5481
4.64,-1.40728,-3.03414,-3.98009,13.0121
4.65,-1.55351,-2.84285,-3.50341,4.63409
4.66,-1.12027,-1.78039,2.16698,7.95709
4.67,-1.20272,-0.770257,6.06226,10.4989
4.68,-1.9196,-0.212193,1.16557,4.90716
4.69,-2.69854,-2.26162,2.19727,13.6052
4.7,-3.09035,-0.22875,1.42022,1.94227
4.71,-3.15921,0.554051,2.6019,1.42967
4.72,-3.19856,-0.14664,2.76558,0.400135
4.73,-4.39561,-9.01371,2.93329,1.20432
4.74,-4.66606,-7.48942,8.20071,0.302491
4.75,-4.94813,-7.61459,8.51522,1.02411
4.76,-3.88266,0.848603,-3.2769,0.171806
4.77,-3.54247,0.798605,-0.886056,4.0385
4.78,-1.2469,-3.4966,1.19482,2.33291
4.79,1.43625,-2.63125,7.20842,4.57247
4.8,-0.713696,-0.896038,8.29649,4.77216
4.81,0.430918,1.43448,4.34234,2.64915
4.82,2.30056,1.08295,3.99218,-2.71309
4.83,1.91261,3.11521,3.35418,1.4386
4.84,0.166951,3.03566,2.66743,-2.24708
4.85,2.28707,3.27423,2.64702,-0.704748
4.86,0.792049,3.76236,1.3018,-0.194532
4.87,0.510943,4.07837,1.06586,-1.60497
4.88,1.37809,3.03868,-3.49189,-2.63861
4.89,0.194146,2.19407,-2.91281,-4.98377
4.9,1.88398,1.88642,-2.55688,-1.08467
4.91,0.742914,0.498697,-3.36304,-0.66259
4.92,0.815915,-0.224156,-2.74862,1.2037
4.93,0.774463,-0.688953,-2.83713,-0.0163524
4.94,1.5163,-1.1902,-1.94435,-1.85013
4.95,2.65859,-1.48586,-0.542517,-2.18754
4.96,1.63711,-1.74427,-0.539882,-2.19218
4.97,0.7504,-2.11387,-2.13669,-1.50001
4.98,1.14715,-1.35443,-3.64975,-2.42285
4.99,1.91708,-1.09165,-2.89522,-2.31497
5.0,1.95207,-0.234643,-2.82115,-1.65734
5.01,0.720882,-0.834715,-2.66788,-1.62117
5.02,0.518115,-2.13876,-1.84895,-2.47265
5.03,-0.622055,-1.02951,-0.270298,-3.13527
5.04,-0.259343,-1.85392,0.754732,-3.90432
5.05,-2.28183,-1.11316,-0.433688,-3.79796
5.06,-1.79938,-1.74088,-0.76478,-4.78938
5.07,-2.81998,-1.43457,-0.74307,-6.13045
5.08,-3.00926,-1.83578,-1.81438,-5.35066
5.09,-3.70697,-1.48975,-2.49484,-5.39652
5.1,-3.67894,-2.00151,-3.08379,-5.31126
5.11,-3.48243,-1.7308,-3.98648,-4.24133
5.12,-3.11575,-1.42923,-4.28802,-3.73697
5.13,-2.57281,-1.50807,-3.88813,-2.14096
5.14,-2.29699,-1.10154,-3.52525,0.22227
5.15,-2.1743,-1.53302,-3.90889,0.959706
5.16,-1.74419,-1.8753,-3.59591,1.39376
5.17,-1.20712,-1.50889,-2.62306,2.83928
5.18,-0.847839,-0.987076,-1.5893,3.71447
5.19,-0.557418,-0.171667,-2.33047,4.06167
5.2,-0.834294,0.514601,-2.862,0.990775
5.21,-0.552336,1.81183,-1.59889,-0.268467
5.22,-0.519793,1.69428,-0.115586,-0.922542
5.23,-0.668864,2.31105,0.45322,-1.44551
5.24,-0.232978,1.35231,0.820362,-0.968881
5.25,0.116447,-0.177127,1.19309,-1.61375
5.26,0.777952,-0.903362,-0.7606,-2.43921
5.27,1.31273,0.0564685,0.874121,-2.71287
5.28,1.37445,-0.635911,0.0177763,-0.897095
5.29,1.79598,-0.17779,-1.07481,-0.254365
5.3,2.71058,0.892351,-1.92006,-0.0663092
5.31,3.613,0.604451,0.315437,0.224972
5.32,4.29385,-0.397282,0.0756928,-0.0758094
5.33,5.24024,-0.490688,-1.14255,-1.91378
5.34,5.23933,-0.85117,-0.682938,-0.477246
5.35,4.29884,-1.07812,-0.515751,-1.03014
5.36,3.26067,-0.986317,-1.79038,0.0582261
5.37,1.58726,-0.259388,-1.69135,0.782791
5.38,0.792345,-0.365603,-1.61283,0.392006
5.39,0.757045,-0.836306,-1.65988,0.900851
5.4,-0.0580998,-1.26302,-0.612398,0.977198
5.41,-0.715811,-1.64188,0.582227,0.855419
5.42,-1.48215,-1.59491,1.22431,-0.291048
5.43,-1.69312,-1.19339,0.605425,0.208755
5.44,-1.87871,-1.29471,-0.235517,0.758318
5.45,-1.99859,-1.83278,-0.100352,1.22862
5.46,-2.013,-1.88165,0.563932,1.62465
5.47,-1.98322,-1.53587,1.29975,2.08616
