dts,Node_264,Node_449,Node_909
3.33,0.0248228,-0.0295254,-0.048797
3.34,0.0290616,-0.0276935,-0.0473087
3.35,0.0333394,-0.0256137,-0.0456037
3.36,0.0375036,-0.0232801,-0.0436836
3.37,0.0415302,-0.0206929,-0.0415382
3.38,0.0454758,-0.017843,-0.0391675
3.39,0.0493953,-0.0147216,-0.0365708
3.4,0.0533409,-0.0113314,-0.0337476
3.41,0.0573334,-0.00768831,-0.0307094
3.42,0.0613894,-0.00380858,-0.0274547
3.43,0.0655349,0.000309751,-0.0239912
3.44,0.0697894,0.00466971,-0.0203428
3.45,0.0741549,0.0092531,-0.0165057
3.46,0.0786008,0.0140696,-0.0124524
3.47,0.0831027,0.0192136,-0.00817996
3.48,0.0876611,0.0247047,-0.00370152
3.49,0.0922842,0.0304229,0.00102105
3.5,0.0970099,0.0362657,0.00601103
3.51,0.101891,0.0421628,0.0111819
3.52,0.106865,0.0480559,0.0164516
3.53,0.11179,0.0539421,0.0218233
3.54,0.116654,0.0598588,0.0272991
3.55,0.121538,0.0658434,0.0328704
3.56,0.126436,0.0719173,0.0385467
3.57,0.131292,0.0780768,0.0443318
3.58,0.136078,0.0843146,0.0502256
3.59,0.140764,0.0906329,0.0562162
3.6,0.145325,0.0970301,0.0622929
3.61,0.14976,0.103516,0.0684667
3.62,0.154082,0.110116,0.0747392
3.63,0.158289,0.116836,0.0810787
3.64,0.162384,0.123634,0.0874287
3.65,0.166376,0.130451,0.0937326
3.66,0.170257,0.137236,0.0999628
3.67,0.174011,0.143958,0.106114
3.68,0.177631,0.150589,0.112176
3.69,0.181128,0.157112,0.118135
3.7,0.184515,0.163518,0.123981
3.71,0.187806,0.169803,0.129712
3.72,0.191001,0.17596,0.135326
3.73,0.194081,0.181977,0.14082
3.74,0.19701,0.187841,0.146177
3.75,0.199812,0.193531,0.15138
3.76,0.2025,0.199022,0.156416
3.77,0.205031,0.204295,0.161268
3.78,0.207377,0.209341,0.165924
3.79,0.209567,0.214158,0.170375
3.8,0.211606,0.218745,0.174614
3.81,0.213491,0.22311,0.178641
3.82,0.215262,0.227261,0.182452
3.83,0.216938,0.231206,0.186032
3.84,0.21853,0.23495,0.189371
3.85,0.22006,0.238495,0.192482
3.86,0.22157,0.241835,0.195397
3.87,0.223074,0.244955,0.198133
3.88,0.224582,0.247858,0.200684
3.89,0.226165,0.250545,0.203013
3.9,0.227821,0.253018,0.205069
3.91,0.229425,0.255297,0.206793
3.92,0.230916,0.257405,0.208192
3.93,0.232261,0.259352,0.20938
3.94,0.23348,0.261132,0.21041
3.95,0.234613,0.262732,0.211313
3.96,0.235685,0.264149,0.212125
3.97,0.236732,0.26537,0.21283
3.98,0.237809,0.266391,0.213491
3.99,0.238972,0.26723,0.214052
4.0,0.240222,0.267897,0.214327
4.01,0.241494,0.268398,0.214341
4.02,0.242629,0.268728,0.214221
4.03,0.243544,0.268879,0.214059
4.04,0.244142,0.268859,0.213919
4.05,0.24434,0.268709,0.213822
4.06,0.244355,0.268544,0.213806
4.07,0.244395,0.268427,0.213874
4.08,0.244397,0.268306,0.21397
4.09,0.24432,0.268191,0.214056
4.1,0.244243,0.268037,0.214095
