dts,Node_5,Node_80,Node_6,Node_108
2.93,-0.0329578,-0.0400201,-0.0431337,-0.0343733
2.94,-0.0318526,-0.0392494,-0.0424276,-0.0338334
2.95,-0.0305229,-0.0382721,-0.041536,-0.033184
2.96,-0.0289841,-0.0370764,-0.0404595,-0.0324079
2.97,-0.0272522,-0.0356554,-0.0391852,-0.0314682
2.98,-0.0253424,-0.0340147,-0.0377072,-0.0303515
2.99,-0.0232643,-0.032169,-0.0360312,-0.0290601
3.0,-0.0210193,-0.030131,-0.0341892,-0.0275906
3.01,-0.0186123,-0.0279142,-0.0322214,-0.0259408
3.02,-0.0160429,-0.0255367,-0.0301465,-0.0241206
3.03,-0.013313,-0.0230192,-0.0279618,-0.0221391
3.04,-0.0104812,-0.0203838,-0.0256576,-0.0200022
3.05,-0.00765741,-0.0176572,-0.0232359,-0.0177176
3.06,-0.00489769,-0.0148719,-0.020713,-0.0152985
3.07,-0.00222552,-0.0120615,-0.0181152,-0.0127565
3.08,0.000356801,-0.009299,-0.0154685,-0.0101068
3.09,0.00286092,-0.006635,-0.0128025,-0.00735978
3.1,0.00530782,-0.00405237,-0.01014,-0.00453057
3.11,0.00769298,-0.00153127,-0.00745719,-0.00163565
3.12,0.010006,0.000948332,-0.00475164,0.00131458
3.13,0.0122559,0.00337865,-0.00205464,0.0042991
3.14,0.0144773,0.0057641,0.000696773,0.00727147
3.15,0.016729,0.00813795,0.00350401,0.0102457
3.16,0.0190439,0.0105617,0.00631074,0.0132594
3.17,0.0214145,0.0130966,0.00910486,0.0163089
3.18,0.0238308,0.0157387,0.0119177,0.0193932
3.19,0.0262965,0.0184626,0.0147899,0.0225064
3.2,0.0288134,0.021254,0.0177611,0.0256433
3.21,0.0313849,0.0241105,0.0208187,0.0288301
3.22,0.0340229,0.0270367,0.023928,0.0320637
3.23,0.0367269,0.0300371,0.0270713,0.0353394
3.24,0.0394821,0.0331181,0.0302506,0.0386495
3.25,0.0422798,0.0362689,0.0334844,0.0419724
3.26,0.0451163,0.039449,0.0367818,0.0452748
3.27,0.0479813,0.0426105,0.0401041,0.0485403
3.28,0.0508612,0.0457317,0.0433601,0.0517555
3.29,0.0537393,0.0488132,0.0464953,0.0549116
3.3,0.0565804,0.0518462,0.0495263,0.0579928
3.31,0.0593387,0.054826,0.0524958,0.0609969
3.32,0.0619865,0.0577593,0.0554118,0.0639253
3.33,0.0645128,0.0606144,0.058252,0.0667663
3.34,0.0669053,0.0633434,0.0609939,0.069503
3.35,0.0691495,0.0659107,0.0636101,0.0721251
3.36,0.0712387,0.0682889,0.0660799,0.074634
3.37,0.0731533,0.0704651,0.0684053,0.0770258
3.38,0.0748438,0.0724344,0.0705661,0.0792877
3.39,0.0762726,0.0741933,0.072534,0.0814047
3.4,0.0774393,0.0757463,0.0743057,0.0833552
3.41,0.0783719,0.0770895,0.075886,0.0851255
3.42,0.0791131,0.0782139,0.0772781,0.0867105
3.43,0.0796771,0.0791141,0.0784731,0.0881071
3.44,0.080055,0.0797982,0.079461,0.0893134
3.45,0.0802473,0.0802861,0.0802393,0.0903283
3.46,0.0802846,0.0806072,0.0808018,0.0911579
3.47,0.0802471,0.0807839,0.0811452,0.0918128
3.48,0.0802725,0.0808311,0.0812768,0.0923008
3.49,0.0805327,0.0807779,0.0812179,0.0926279
3.5,0.0809787,0.0806691,0.081,0.0928104
3.51,0.0814548,0.08063,0.0806728,0.0928797
3.52,0.0819172,0.0807713,0.0803384,0.0928843
3.53,0.0823358,0.0809932,0.0801479,0.0929529
3.54,0.082669,0.0811803,0.0801643,0.0932231
3.55,0.0829381,0.0813263,0.0802915,0.09358
3.56,0.083122,0.0814428,0.0803664,0.0938061
3.57,0.083228,0.0815387,0.0803899,0.0938616
3.58,0.0833131,0.0816108,0.0804021,0.0937344
3.59,0.0834705,0.0816472,0.0803983,0.0934833
3.6,0.0837693,0.0816867,0.080385,0.0931465
3.61,0.0842188,0.0817903,0.0803284,0.0926664
3.62,0.0848254,0.0820272,0.0802286,0.0920637
3.63,0.0855977,0.0824145,0.0801495,0.0913799
3.64,0.0865602,0.0829349,0.0802027,0.0907016
3.65,0.0877007,0.0835709,0.0804627,0.0901192
3.66,0.0889846,0.0843164,0.0808989,0.0896886
3.67,0.0903706,0.085172,0.0814487,0.0894086
3.68,0.0917666,0.0861101,0.0820827,0.0892488
3.69,0.0929879,0.0870776,0.0827928,0.0892014
3.7,0.093943,0.0880188,0.0835612,0.0893255
3.71,0.0946949,0.0888845,0.0843539,0.0896293
3.72,0.0951937,0.0895494,0.0851316,0.0900865
3.73,0.0953816,0.0899831,0.0858619,0.0906454
3.74,0.095265,0.0902282,0.0864797,0.091273
3.75,0.094866,0.0902051,0.0868905,0.0919079
3.76,0.0942241,0.0898974,0.0870624,0.0924302
3.77,0.0933639,0.089358,0.086978,0.0927613
3.78,0.0922826,0.0886183,0.0865669,0.0928577
3.79,0.0909676,0.0876693,0.0858193,0.0926842
3.8,0.089416,0.0864889,0.0847552,0.0922331
3.81,0.0876699,0.085053,0.0833924,0.0915
3.82,0.085784,0.0833464,0.0817607,0.090458
3.83,0.0837741,0.0813833,0.0798928,0.0891183
3.84,0.0816038,0.0791951,0.077819,0.0875117
3.85,0.0792571,0.0768214,0.0755481,0.0856568
3.86,0.0767414,0.074286,0.0730961,0.0835711
3.87,0.0740618,0.0715915,0.0705072,0.0812666
3.88,0.0711925,0.068747,0.0678235,0.0787509
3.89,0.0681105,0.0657844,0.0650611,0.0760555
3.9,0.0648278,0.0627159,0.0622082,0.0732047
3.91,0.0613815,0.0595444,0.0592329,0.0701654
3.92,0.0578167,0.0562764,0.0561152,0.0669227
3.93,0.0541918,0.052902,0.0528554,0.0635184
3.94,0.050675,0.0494162,0.0494424,0.0599893
3.95,0.0473959,0.0458471,0.0458598,0.0563274
3.96,0.0442935,0.0422641,0.0420889,0.0525323
3.97,0.0413685,0.0388585,0.0381192,0.0486567
3.98,0.038641,0.0357286,0.0341012,0.0448093
3.99,0.0360927,0.0327514,0.0303236,0.0411009
4.0,0.0337521,0.0299161,0.0268969,0.0375894
4.01,0.0316313,0.0272254,0.0237165,0.034272
4.02,0.0297072,0.0246757,0.0207081,0.0311361
4.03,0.027974,0.022261,0.0179099,0.0282034
4.04,0.0264498,0.0200305,0.0153782,0.0254816
4.05,0.0251528,0.0180062,0.013097,0.0229567
4.06,0.024103,0.0161901,0.0110733,0.02062
4.07,0.0233216,0.0146111,0.00933088,0.0184928
4.08,0.0228095,0.0133106,0.00786279,0.0165967
4.09,0.0225559,0.012309,0.00665901,0.0149348
4.1,0.0225755,0.0116161,0.00571034,0.01352
4.11,0.0228929,0.0112391,0.00497845,0.0123771
4.12,0.0235185,0.0111783,0.0044223,0.0115189
4.13,0.0244527,0.0114147,0.00405193,0.0109528
4.14,0.0257149,0.0119186,0.00392091,0.0106847
4.15,0.0273227,0.0126735,0.00407529,0.0107125
4.16,0.0292448,0.01368,0.00453367,0.0110219
4.17,0.0312853,0.014933,0.00529984,0.0116141
4.18,0.0331306,0.0164351,0.00636146,0.012482
4.19,0.0347314,0.0181556,0.00770313,0.0136068
4.2,0.0361479,0.0199055,0.00930731,0.0149631
4.21,0.037348,0.0214225,0.0111575,0.0165299
4.22,0.0383143,0.0227668,0.0132004,0.0182504
4.23,0.0390808,0.0239106,0.0152164,0.0198925
4.24,0.0396646,0.0248397,0.0169034,0.0212771
4.25,0.0400621,0.0255865,0.0183038,0.0224568
4.26,0.0402709,0.0261495,0.0194138,0.023482
4.27,0.0402944,0.0265297,0.0202479,0.0243099
4.28,0.0401382,0.02671,0.0208036,0.0249266
4.29,0.0398086,0.0266889,0.0210654,0.0253571
4.3,0.0392995,0.0264767,0.0210758,0.0255583
4.31,0.0386032,0.0260746,0.0208289,0.0255184
4.32,0.0377146,0.0254653,0.0203531,0.0252417
4.33,0.0366203,0.0246233,0.0196507,0.0247094
4.34,0.0353107,0.0235256,0.0187281,0.0239109
4.35,0.0338433,0.0221855,0.0175775,0.0228422
4.36,0.0324513,0.0206414,0.0161707,0.021504
4.37,0.0313146,0.018982,0.0144758,0.0199511
4.38,0.0303566,0.0173774,0.0124982,0.0183452
4.39,0.0295732,0.0160546,0.0103934,0.0169415
4.4,0.0290179,0.0150603,0.00855469,0.0158546
4.41,0.0286489,0.0142649,0.00715656,0.0150265
4.42,0.028489,0.0136801,0.00612216,0.0144271
4.43,0.0285769,0.0133646,0.00546283,0.0141285
4.44,0.0288889,0.0133233,0.00523851,0.0141442
4.45,0.029421,0.0135901,0.00540238,0.0144788
4.46,0.0301871,0.0142084,0.00593731,0.0151848
4.47,0.0312021,0.0151709,0.00684927,0.0162206
4.48,0.0324957,0.0164735,0.00809852,0.017498
4.49,0.0340764,0.0181208,0.00966416,0.0190567
4.5,0.0359222,0.0200672,0.0115494,0.0208803
4.51,0.0379843,0.0222792,0.0137484,0.022956
4.52,0.04019,0.0247378,0.0162679,0.0252499
4.53,0.0424731,0.0273688,0.0190759,0.0276847
4.54,0.04477,0.0300765,0.0220614,0.0301808
4.55,0.0470103,0.0327846,0.025129,0.0326546
4.56,0.0491196,0.0354624,0.0281784,0.0351098
4.57,0.051072,0.0380509,0.0311333,0.0375887
4.58,0.0529021,0.0404756,0.0339794,0.040075
4.59,0.0546232,0.0427436,0.0366832,0.0424939
4.6,0.0561815,0.0448488,0.0391788,0.0447679
4.61,0.0575468,0.04675,0.0414369,0.0468549
4.62,0.0587468,0.0484066,0.0434339,0.0487259
4.63,0.0598116,0.049809,0.045148,0.0503768
4.64,0.0607499,0.0509656,0.0465742,0.0518234
4.65,0.061558,0.0518737,0.0477178,0.0530777
4.66,0.0622349,0.0525361,0.0485839,0.0541415
4.67,0.0627558,0.0529716,0.0491867,0.0550158
4.68,0.063092,0.0532137,0.0495582,0.0557361
4.69,0.0632371,0.0532864,0.0497116,0.0563274
4.7,0.0632009,0.0532011,0.0496417,0.0567718
4.71,0.0629923,0.0529571,0.0493486,0.0570271
4.72,0.0626204,0.052552,0.0488437,0.0570584
4.73,0.0621103,0.0520229,0.0481646,0.0568696
4.74,0.0615037,0.0514346,0.0473639,0.056505
4.75,0.0608298,0.0508278,0.046494,0.0560599
4.76,0.0601088,0.0502317,0.0456272,0.0556043
4.77,0.0593981,0.0496673,0.0448255,0.0551125
4.78,0.0587887,0.0491382,0.0441102,0.0545501
4.79,0.0583018,0.0486422,0.0434769,0.0539182
4.8,0.0578938,0.0482176,0.0429003,0.053209
4.81,0.0575815,0.0478727,0.0423677,0.0524757
4.82,0.0573803,0.0475507,0.0419308,0.0518143
4.83,0.0572624,0.0472484,0.0416204,0.0512672
