Nodes:
ID, X, Y, Z
1624, 20.425, 5.250, 0.000
1625, 19.950, 5.500, 0.000
1626, 19.475, 5.750, 0.000
1627, 19.000, 6.000, 0.000
1628, 18.525, 6.250, 0.000
1629, 18.050, 6.500, 0.000
1630, 17.575, 6.750, 0.000
1631, 17.100, 7.000, 0.000
1632, 16.625, 7.250, 0.000
1633, 16.150, 7.500, 0.000
1634, 15.675, 7.750, 0.000
1635, 15.200, 8.000, 0.000
1636, 14.725, 8.250, 0.000
1637, 14.250, 8.500, 0.000
1638, 13.775, 8.750, 0.000
1639, 13.300, 9.000, 0.000
1640, 12.825, 9.250, 0.000
1641, 12.350, 9.500, 0.000
1642, 11.875, 9.750, 0.000
1643, 30.712, 0.250, 0.000
1644, 30.225, 0.500, 0.000
1645, 29.737, 0.750, 0.000
1646, 29.250, 1.000, 0.000
1647, 28.762, 1.250, 0.000
1648, 28.275, 1.500, 0.000
1649, 27.787, 1.750, 0.000
1650, 27.300, 2.000, 0.000
1651, 26.813, 2.250, 0.000
1652, 26.325, 2.500, 0.000
1653, 25.838, 2.750, 0.000
1654, 25.350, 3.000, 0.000
1655, 24.863, 3.250, 0.000
1656, 24.375, 3.500, 0.000
1657, 23.888, 3.750, 0.000
1658, 23.400, 4.000, 0.000
1659, 22.913, 4.250, 0.000
1660, 22.425, 4.500, 0.000
1661, 21.938, 4.750, 0.000
1662, 21.450, 5.000, 0.000
1663, 20.963, 5.250, 0.000
1664, 20.475, 5.500, 0.000
1665, 19.988, 5.750, 0.000
1666, 19.500, 6.000, 0.000
1667, 19.013, 6.250, 0.000
1668, 18.525, 6.500, 0.000
1669, 18.038, 6.750, 0.000
1670, 17.550, 7.000, 0.000
1671, 17.063, 7.250, 0.000
1672, 16.575, 7.500, 0.000
1673, 16.088, 7.750, 0.000
1674, 15.600, 8.000, 0.000
1675, 15.113, 8.250, 0.000
1676, 14.625, 8.500, 0.000
1677, 14.138, 8.750, 0.000
1678, 13.650, 9.000, 0.000
1679, 13.163, 9.250, 0.000
1680, 12.675, 9.500, 0.000
1681, 12.188, 9.750, 0.000
